Year,Month,Station,Peak,Traffic
2010,9,Addison Road,AM Peak,2303.7
2010,10,Addison Road,AM Peak,2298
2010,11,Addison Road,AM Peak,2173.5
2010,12,Addison Road,AM Peak,1956.5
2011,1,Addison Road,AM Peak,2037.1
2011,2,Addison Road,AM Peak,2231.5
2011,3,Addison Road,AM Peak,2268.1
2011,4,Addison Road,AM Peak,2198
2011,5,Addison Road,AM Peak,2260.8
2011,6,Addison Road,AM Peak,2248.2
2011,7,Addison Road,AM Peak,2249.7
2011,8,Addison Road,AM Peak,2262.4
2011,9,Addison Road,AM Peak,2323.7
2011,10,Addison Road,AM Peak,2195
2011,11,Addison Road,AM Peak,2225.6
2011,12,Addison Road,AM Peak,1819.8
2012,1,Addison Road,AM Peak,2173.6
2012,2,Addison Road,AM Peak,2217.4
2012,3,Addison Road,AM Peak,2214
2012,4,Addison Road,AM Peak,2109.2
2012,5,Addison Road,AM Peak,2128.5
2012,6,Addison Road,AM Peak,2105.1
2012,7,Addison Road,AM Peak,2051.6
2012,8,Addison Road,AM Peak,1993.7
2012,9,Addison Road,AM Peak,2105.6
2012,10,Addison Road,AM Peak,2094.8
2012,11,Addison Road,AM Peak,1980.5
2012,12,Addison Road,AM Peak,1756
2013,1,Addison Road,AM Peak,1931.5
2013,2,Addison Road,AM Peak,2058.1
2013,3,Addison Road,AM Peak,1947.1
2013,4,Addison Road,AM Peak,2061.4
2013,5,Addison Road,AM Peak,2068.1
2013,6,Addison Road,AM Peak,2045.8
2013,7,Addison Road,AM Peak,2004.5
2013,8,Addison Road,AM Peak,2014.9
2013,9,Addison Road,AM Peak,2169.6
2013,10,Addison Road,AM Peak,1906
2013,11,Addison Road,AM Peak,1990.2
2013,12,Addison Road,AM Peak,1748
2014,1,Addison Road,AM Peak,1728.1
2014,2,Addison Road,AM Peak,1815.8
2014,3,Addison Road,AM Peak,1787.6
2014,4,Addison Road,AM Peak,2005.2
2014,5,Addison Road,AM Peak,2016
2014,6,Addison Road,AM Peak,2046.7
2014,7,Addison Road,AM Peak,2029.5
2014,8,Addison Road,AM Peak,1994.7
2014,9,Addison Road,AM Peak,2169.8
2014,10,Addison Road,AM Peak,2162
2014,11,Addison Road,AM Peak,2031.1
2014,12,Addison Road,AM Peak,1827.1
2010,9,Anacostia,AM Peak,3141
2010,10,Anacostia,AM Peak,3136.8
2010,11,Anacostia,AM Peak,3054.9
2010,12,Anacostia,AM Peak,2724.9
2011,1,Anacostia,AM Peak,2905.8
2011,2,Anacostia,AM Peak,3181.1
2011,3,Anacostia,AM Peak,3145.7
2011,4,Anacostia,AM Peak,2948.2
2011,5,Anacostia,AM Peak,3072
2011,6,Anacostia,AM Peak,2990.1
2011,7,Anacostia,AM Peak,2956.6
2011,8,Anacostia,AM Peak,2775.6
2011,9,Anacostia,AM Peak,3236.1
2011,10,Anacostia,AM Peak,3221.9
2011,11,Anacostia,AM Peak,3087.9
2011,12,Anacostia,AM Peak,2796.6
2012,1,Anacostia,AM Peak,3070.2
2012,2,Anacostia,AM Peak,3150.7
2012,3,Anacostia,AM Peak,3171.4
2012,4,Anacostia,AM Peak,2935.1
2012,5,Anacostia,AM Peak,3108.5
2012,6,Anacostia,AM Peak,2888.9
2012,7,Anacostia,AM Peak,2823.2
2012,8,Anacostia,AM Peak,2682.7
2012,9,Anacostia,AM Peak,3193.6
2012,10,Anacostia,AM Peak,3041.3
2012,11,Anacostia,AM Peak,2987.3
2012,12,Anacostia,AM Peak,2655.7
2013,1,Anacostia,AM Peak,2860.6
2013,2,Anacostia,AM Peak,3079.8
2013,3,Anacostia,AM Peak,2965.4
2013,4,Anacostia,AM Peak,2977.9
2013,5,Anacostia,AM Peak,3129.9
2013,6,Anacostia,AM Peak,2797
2013,7,Anacostia,AM Peak,2794.5
2013,8,Anacostia,AM Peak,2688.1
2013,9,Anacostia,AM Peak,3156.7
2013,10,Anacostia,AM Peak,2834.7
2013,11,Anacostia,AM Peak,2882.1
2013,12,Anacostia,AM Peak,2515.5
2014,1,Anacostia,AM Peak,2598.3
2014,2,Anacostia,AM Peak,2759.7
2014,3,Anacostia,AM Peak,2697.9
2014,4,Anacostia,AM Peak,2885.2
2014,5,Anacostia,AM Peak,2938.4
2014,6,Anacostia,AM Peak,2832.7
2014,7,Anacostia,AM Peak,2973
2014,8,Anacostia,AM Peak,2861.3
2014,9,Anacostia,AM Peak,3266
2014,10,Anacostia,AM Peak,3202.4
2014,11,Anacostia,AM Peak,3014.1
2014,12,Anacostia,AM Peak,2691.8
2010,9,Archives-Navy Memorial,AM Peak,366.3
2010,10,Archives-Navy Memorial,AM Peak,355.9
2010,11,Archives-Navy Memorial,AM Peak,346.7
2010,12,Archives-Navy Memorial,AM Peak,320.6
2011,1,Archives-Navy Memorial,AM Peak,357.3
2011,2,Archives-Navy Memorial,AM Peak,377.7
2011,3,Archives-Navy Memorial,AM Peak,390
2011,4,Archives-Navy Memorial,AM Peak,375.5
2011,5,Archives-Navy Memorial,AM Peak,383.4
2011,6,Archives-Navy Memorial,AM Peak,393.7
2011,7,Archives-Navy Memorial,AM Peak,399.9
2011,8,Archives-Navy Memorial,AM Peak,360.9
2011,9,Archives-Navy Memorial,AM Peak,389.6
2011,10,Archives-Navy Memorial,AM Peak,382.5
2011,11,Archives-Navy Memorial,AM Peak,391.2
2011,12,Archives-Navy Memorial,AM Peak,339.3
2012,1,Archives-Navy Memorial,AM Peak,379.2
2012,2,Archives-Navy Memorial,AM Peak,392.7
2012,3,Archives-Navy Memorial,AM Peak,396.7
2012,4,Archives-Navy Memorial,AM Peak,393.2
2012,5,Archives-Navy Memorial,AM Peak,397.3
2012,6,Archives-Navy Memorial,AM Peak,413.8
2012,7,Archives-Navy Memorial,AM Peak,406.4
2012,8,Archives-Navy Memorial,AM Peak,414.7
2012,9,Archives-Navy Memorial,AM Peak,424.1
2012,10,Archives-Navy Memorial,AM Peak,419.8
2012,11,Archives-Navy Memorial,AM Peak,404.8
2012,12,Archives-Navy Memorial,AM Peak,363.5
2013,1,Archives-Navy Memorial,AM Peak,417.5
2013,2,Archives-Navy Memorial,AM Peak,430.8
2013,3,Archives-Navy Memorial,AM Peak,400.8
2013,4,Archives-Navy Memorial,AM Peak,398.8
2013,5,Archives-Navy Memorial,AM Peak,396
2013,6,Archives-Navy Memorial,AM Peak,386.8
2013,7,Archives-Navy Memorial,AM Peak,410.1
